# Time-averaged data for fix temp_info
# TimeStep v_mytemp
1173000 4658.4
1176000 4651.33
1179000 4695.14
1182000 4120.52
1185000 4502.07
1188000 4430.37
1191000 4331.28
1194000 4638.41
1197000 4852.86
1200000 4468.02
1203000 4696.9
1206000 4559.75
1209000 4257.95
1212000 5001.76
1215000 4264.76
1218000 4536.79
1221000 4329.92
1224000 4309.92
1227000 4348.16
1230000 4434.98
1233000 4279.58
1236000 4209.39
1239000 4252.4
1242000 4372.81
1245000 4381.19
1248000 4396.61
1251000 4469.08
1254000 4329.31
1257000 4021.5
1260000 4408.25
1263000 4196
1266000 4599.27
1269000 4122.87
1272000 4062.22
1275000 4695.7
1278000 3904.29
1281000 4414.17
1284000 4291.39
1287000 4367.02
1290000 4184.46
1293000 4480.91
1296000 4403.65
1299000 4282.86
1302000 4310.07
1305000 4663.73
1308000 4090.9
1311000 4482.87
1314000 4575.62
1317000 3718.98
1320000 4238.77
1323000 4770.83
1326000 4140.96
1329000 4149.02
1332000 4711.73
1335000 4482.58
1338000 4655.92
1341000 4536.6
1344000 4824.05
1347000 4257.5
1350000 4210.49
1353000 4280.61
1356000 4232.3
1359000 4271.11
1362000 4217.11
1365000 4568.81
1368000 4078.36
1371000 4383.03
1374000 4041.89
1377000 4406.48
1380000 3758.4
1383000 4398.87
1386000 4153.75
1389000 4082.97
1392000 4514.32
1395000 4346.34
1398000 4388.37
1401000 4294.19
1404000 4646.95
1407000 3828.46
1410000 4827.84
1413000 4280.62
1416000 4125.9
1419000 3987.51
1422000 4085.08
1425000 3976.58
1428000 4066.99
1431000 4550.35
1434000 4255.02
1437000 4627.06
1440000 3975.24
1443000 4202.29
1446000 4485.58
1449000 4428.85
1452000 4081.79
1455000 4342.49
1458000 4565.37
1461000 4280.48
1464000 4114.61
1467000 4591.9
1470000 4488.89
1473000 4420.3
1476000 3769.89
1479000 4391.93
1482000 4113.61
1485000 3874.73
1488000 4378.21
1491000 4252.91
1494000 3932.83
1497000 4581.3
1500000 3970.72
1503000 4089.03
1506000 4473.46
1509000 3780.39
1512000 3972.68
1515000 3711.38
1518000 3587.74
1521000 4042.1
1524000 4333.73
1527000 4363.63
1530000 4124.82
1533000 4237.34
1536000 4050.65
1539000 3991.68
1542000 3885.78
1545000 4539.29
1548000 4039.99
1551000 4205.27
1554000 4305.99
1557000 3998.12
1560000 4121.09
1563000 3895.23
1566000 4483.89
1569000 4050.38
1572000 4059.51
1575000 3919.74
1578000 3947.17
1581000 3968.07
1584000 4025.85
1587000 3614.55
1590000 3845.43
1593000 3919.79
1596000 3899.21
1599000 4257.27
1602000 4112.49
1605000 3906.16
1608000 4028.86
1611000 3952.07
1614000 3696.56
1617000 4144.6
1620000 4323.59
1623000 4122.48
1626000 4078.78
1629000 3999.26
1632000 3970.14
1635000 4035.36
1638000 4647.66
1641000 4131.62
1644000 4187.76
1647000 4043.06
1650000 4020.48
1653000 4092.88
1656000 4371.09
1659000 3812.21
1662000 4312.4
1665000 3953.51
1668000 3866.12
1671000 3755.09
1674000 4251.23
1677000 4086.14
1680000 4029.88
1683000 4120.21
1686000 3911.84
1689000 3992.57
1692000 4325.84
1695000 3809.37
1698000 4154.85
1701000 4246.08
1704000 4037.37
1707000 4135.53
1710000 4053.7
1713000 3901.18
1716000 3994.03
1719000 3994.13
1722000 4125.24
1725000 3995.49
1728000 4110.21
1731000 3939.53
1734000 4012.52
1737000 4079.52
1740000 4258.38
1743000 4033.6
1746000 4049.26
1749000 4055.5
1752000 4268.15
1755000 4043.9
1758000 3926.63
1761000 3951.5
1764000 3639.62
1767000 4028.15
1770000 3731.95
1773000 3866.59
1776000 4042.69
1779000 4518.92
1782000 4076.72
1785000 3733.38
1788000 3742.15
1791000 4324.86
1794000 3960.28
1797000 4175.04
1800000 4037.47
1803000 4420.9
1806000 4234.75
1809000 3882.96
1812000 4235.11
1815000 3961.58
1818000 3695.96
1821000 3708.75
1824000 3955.35
1827000 4230.49
1830000 3688.35
1833000 3892.52
1836000 3887.71
1839000 3672.27
1842000 4114.64
1845000 4089.04
1848000 4428.93
1851000 4027.22
1854000 3604.04
1857000 4048.33
1860000 3849.33
1863000 4077.44
1866000 4017.56
1869000 3962.52
1872000 4028.15
1875000 4282.8
1878000 4246.43
1881000 4057.81
1884000 3558.39
1887000 4233.42
1890000 4101.55
1893000 4288.34
1896000 3775.81
1899000 3991.62
1902000 4053.88
1905000 3729.14
1908000 3934.69
1911000 3921.86
1914000 3897.64
1917000 4279.99
1920000 4325.03
1923000 4208.82
1926000 3720.19
1929000 4240.31
1932000 4159.23
1935000 4102.82
1938000 3903.9
1941000 3770.33
1944000 3943.69
1947000 4117.37
1950000 4210.9
1953000 4291.14
1956000 4192.57
1959000 4135.21
1962000 4264.61
1965000 4018.17
1968000 4259.58
1971000 4512.04
1974000 3924.4
1977000 4110.62
1980000 4230.4
1983000 4053.61
1986000 3973.57
1989000 3888.38
1992000 4202.59
1995000 4362.39
1998000 4006.22
2001000 4443.93
2004000 3833.09
2007000 3829.97
2010000 3903.77
2013000 4371.93
2016000 4096.67
2019000 4080.07
2022000 4214.18
2025000 3906.89
2028000 4055.13
2031000 4036.19
2034000 4519.79
2037000 3862.47
2040000 4321.36
2043000 3819.65
2046000 3875.5
2049000 4065.83
2052000 4219.68
2055000 3993.48
2058000 3937.67
2061000 3942.37
2064000 3820.19
2067000 3974.87
2070000 3987.79
2073000 4171.31
2076000 4221.19
2079000 4247.36
2082000 4162.33
2085000 3835.01
2088000 4227.36
2091000 3969.27
2094000 4322.55
2097000 4310.68
2100000 4224.55
2103000 3965.08
2106000 3843.73
2109000 4091.6
2112000 3968.88
2115000 4192.22
2118000 4136.43
2121000 3982.67
2124000 4018.79
2127000 3867.94
2130000 4378.51
2133000 3778.52
2136000 3649.62
2139000 3949.61
2142000 3745.02
2145000 3857.29
2148000 3906.35
2151000 3942.61
2154000 3912.96
2157000 3836.07
2160000 4381.03
2163000 3943.63
2166000 3982.86
2169000 3882.12
2172000 3916.51
2175000 3790.48
2178000 4106.49
2181000 3890.04
2184000 4129.26
2187000 4096.05
2190000 4349.21
2193000 4058.83
2196000 4202.62
2199000 4062.86
2202000 3886.85
2205000 3870.54
2208000 3968.95
2211000 4248.57
2214000 3759.57
2217000 3889.22
2220000 4017.81
2223000 4091.11
2226000 3945.26
2229000 4325.05
2232000 4029.24
2235000 3850.15
2238000 4447.72
2241000 4157.05
2244000 4065.31
2247000 4096.31
2250000 3806.1
2253000 3966.9
2256000 3742.43
2259000 3920.51
2262000 4054.2
2265000 4093.78
2268000 3991.93
2271000 4034.6
2274000 4023.25
2277000 4239.15
2280000 4159.53
2283000 4185.95
2286000 4168.98
2289000 3971.03
2292000 3949.78
2295000 4177.82
2298000 4332.42
2301000 4068.11
2304000 4353.55
2307000 3835.58
2310000 3750.84
2313000 4242.95
2316000 4043.08
2319000 4239.5
2322000 3766.03
2325000 3899.42
2328000 3806.87
2331000 4057.89
2334000 4166.25
2337000 3845.83
2340000 4025.71
2343000 3882.17
2346000 4043.11
2349000 3986.7
2352000 4087.4
2355000 4151.28
2358000 3958.73
2361000 4124.16
2364000 4046.37
2367000 4121.53
2370000 3924.65
2373000 3737.26
2376000 4097.39
2379000 3968.81
2382000 4500.71
2385000 3820.24
2388000 3826.37
2391000 4171.37
2394000 4060.03
2397000 3982.91
2400000 4113.71
2403000 3518.2
2406000 4035.79
2409000 4157.55
2412000 3837.46
2415000 4260.44
2418000 3844.98
2421000 4432.27
2424000 4176.82
2427000 3851.57
2430000 3811.4
2433000 4032.92
2436000 4216.2
2439000 4210.01
2442000 4139.09
2445000 3926.73
2448000 3901.91
2451000 3797.38
2454000 4174.82
2457000 3754.39
2460000 3692.56
2463000 3934.34
2466000 3964.97
2469000 4018.81
2472000 3922.17
2475000 4225.3
2478000 3999.07
2481000 3935.49
2484000 3682.46
2487000 4067.3
2490000 4009.67
2493000 3967.3
2496000 4223.29
2499000 4122.29
2502000 3921.28
2505000 3871.45
2508000 3812.59
2511000 3858.54
2514000 3902.74
2517000 3816.34
2520000 3861.38
2523000 4125.6
2526000 3687.09
2529000 3832.19
2532000 4249.5
2535000 3641.53
2538000 4230.96
2541000 3833.5
2544000 3743.02
2547000 3631.35
2550000 3763.1
2553000 3680.1
2556000 3867.48
2559000 3796.95
2562000 3648.7
2565000 3927.56
2568000 3915.73
2571000 3847.38
2574000 3568.6
2577000 4284.29
2580000 3985.59
2583000 4187.19
2586000 3880.67
2589000 3683.56
2592000 3755.75
2595000 3959.86
2598000 3949.24
2601000 3743.05
2604000 3776.8
2607000 3860.23
2610000 4086.61
2613000 3714
2616000 3625.57
2619000 3974.01
2622000 3571.13
2625000 3738.58
2628000 3840.71
2631000 3684.29
2634000 3792
2637000 3915.95
2640000 3700.09
2643000 3869.54
2646000 3851.28
2649000 3630.61
2652000 3883.02
2655000 3899.08
2658000 3562.08
2661000 3667.51
2664000 3645.24
2667000 3241.79
2670000 3427.09
2673000 3703.86
2676000 3627.27
2679000 4011.53
2682000 3823.51
2685000 3928.35
2688000 3695.85
2691000 3598.32
2694000 3714.06
2697000 3871.54
2700000 3278.33
2703000 3532.85
2706000 3952.69
2709000 3436.09
2712000 3833.78
2715000 3959.2
2718000 3370.74
2721000 3654.7
2724000 3488.96
2727000 3705.05
2730000 3793.87
2733000 3558.07
2736000 3637.76
2739000 3537.84
2742000 3663.43
2745000 3339.41
2748000 3521.74
2751000 3574.03
2754000 3579.37
2757000 3598.38
2760000 3578.1
2763000 3272.9
2766000 3731.07
2769000 3664.62
2772000 4044.99
2775000 3512.32
2778000 3340.6
2781000 3399.63
2784000 3683.14
2787000 3651.23
2790000 3669.61
2793000 3580.16
2796000 3373.71
2799000 3338.86
2802000 3483.79
2805000 3674.57
2808000 3626.21
2811000 3366.01
2814000 3517.02
2817000 3585.77
2820000 3293.32
2823000 3396.47
2826000 3429.43
2829000 3468.02
2832000 3567.21
2835000 3322.76
2838000 3380.96
2841000 3569.02
2844000 3392.38
2847000 3593.99
2850000 3200.48
2853000 3281.51
2856000 3515.68
2859000 3416.22
2862000 3281.37
2865000 3329.24
2868000 3446.86
2871000 3392.93
2874000 3452.74
2877000 3358.74
2880000 3491.65
2883000 3409.11
2886000 3442.08
2889000 3537.97
2892000 3483.27
2895000 3268.3
